src_instance,src_signal,dst_signal,dst_instance
LPUART,dma_rx_lpuart,dmamux2_req_in9,DMAMUX2
LPUART,dma_tx_lpuart,dmamux2_req_in10,DMAMUX2
SPI6,dma_rx_spi6,dmamux2_req_in11,DMAMUX2
SPI6,dma_tx_spi6,dmamux2_req_in12,DMAMUX2
I2C4,dma_rx_i2c4,dmamux2_req_in13,DMAMUX2
I2C4,dma_tx_i2c4,dmamux2_req_in14,DMAMUX2
SAI4,dma_a_sai4,dmamux2_req_in15,DMAMUX2
SAI4,dma_b_sai4,dmamux2_req_in16,DMAMUX2
ADC3,dma_adc3,dmamux2_req_in17,DMAMUX2
DMAMUX2,dmamux2_evt0,dmamux2_gen0,DMAMUX2
DMAMUX2,dmamux2_evt1,dmamux2_gen1,DMAMUX2
DMAMUX2,dmamux2_evt2,dmamux2_gen2,DMAMUX2
DMAMUX2,dmamux2_evt3,dmamux2_gen3,DMAMUX2
DMAMUX2,dmamux2_evt4,dmamux2_gen4,DMAMUX2
DMAMUX2,dmamux2_evt5,dmamux2_gen5,DMAMUX2
DMAMUX2,dmamux2_evt6,dmamux2_gen6,DMAMUX2
EXTI,exti_lpuart_rx_it,dmamux2_gen7,DMAMUX2
EXTI,exti_lpuart_tx_it,dmamux2_gen8,DMAMUX2
EXTI,exti_lptim2_wkup,dmamux2_gen9,DMAMUX2
EXTI,exti_lptim2_out,dmamux2_gen10,DMAMUX2
EXTI,exti_lptim3_wkup,dmamux2_gen11,DMAMUX2
EXTI,exti_lptim3_out,dmamux2_gen12,DMAMUX2
EXTI,exti_lptim4_wkup,dmamux2_gen13,DMAMUX2
EXTI,exti_lptim5_wkup,dmamux2_gen14,DMAMUX2
EXTI,exti_i2c4_wkup,dmamux2_gen15,DMAMUX2
EXTI,exti_spi6_wkup,dmamux2_gen16,DMAMUX2
EXTI,exti_comp1_out,dmamux2_gen17,DMAMUX2
EXTI,exti_comp2_out,dmamux2_gen18,DMAMUX2
EXTI,exti_rtc_wkup,dmamux2_gen19,DMAMUX2
EXTI,exti_syscfg_exti0,dmamux2_gen20,DMAMUX2
EXTI,exti_syscfg_exti2,dmamux2_gen21,DMAMUX2
I2C4,it_evt_i2c4,dmamux2_gen22,DMAMUX2
SPI6,it_spi6,dmamux2_gen23,DMAMUX2
LPUART,it_tx_lpuart1,dmamux2_gen24,DMAMUX2
LPUART,it_rx_lpuart1,dmamux2_gen25,DMAMUX2
ADC3,it_adc3,dmamux2_gen26,DMAMUX2
ADC3,out_awd1_adc3,dmamux2_gen27,DMAMUX2
BDMA,it_ch0_bdma,dmamux2_gen28,DMAMUX2
BDMA,it_ch1_bdma,dmamux2_gen29,DMAMUX2
DMAMUX2,dmamux2_evt0,dmamux2_trg0,DMAMUX2
DMAMUX2,dmamux2_evt1,dmamux2_trg1,DMAMUX2
DMAMUX2,dmamux2_evt2,dmamux2_trg2,DMAMUX2
DMAMUX2,dmamux2_evt3,dmamux2_trg3,DMAMUX2
DMAMUX2,dmamux2_evt4,dmamux2_trg4,DMAMUX2
DMAMUX2,dmamux2_evt5,dmamux2_trg5,DMAMUX2
EXTI,it_exti_tx_lpuart1,dmamux2_trg6,DMAMUX2
EXTI,it_exti_rx_lpuart1,dmamux2_trg7,DMAMUX2
EXTI,it_exti_out_lptim2,dmamux2_trg8,DMAMUX2
EXTI,it_exti_out_lptim3,dmamux2_trg9,DMAMUX2
EXTI,it_exti_wkup_i2c4,dmamux2_trg10,DMAMUX2
EXTI,it_exti_wkup_spi6,dmamux2_trg11,DMAMUX2
EXTI,it_exti_out_comp1,dmamux2_trg12,DMAMUX2
EXTI,it_exti_wkup_rtc,dmamux2_trg13,DMAMUX2
EXTI,it_exti_exti0_syscfg,dmamux2_trg14,DMAMUX2
EXTI,it_exti_exti2_syscfg,dmamux2_trg15,DMAMUX2
DMAMUX2,dmamux1_req_out0,bdma_ch0,BDMA
DMAMUX2,dmamux1_req_out1,bdma_ch1,BDMA
DMAMUX2,dmamux1_req_out2,bdma_ch2,BDMA
DMAMUX2,dmamux1_req_out3,bdma_ch3,BDMA
DMAMUX2,dmamux1_req_out4,bdma_ch4,BDMA
DMAMUX2,dmamux1_req_out5,bdma_ch5,BDMA
DMAMUX2,dmamux1_req_out6,bdma_ch6,BDMA
DMAMUX2,dmamux1_req_out7,bdma_ch7,BDMA
