line,source,type,target,nvic_connection
0-15,EXTI[15:0],Configurable,Any,Yes
16,PVD and AVD(1),Configurable,CPU1 or CPU2,Yes
17,RTC alarms,Configurable,CPU1 or CPU2,Yes
18,"RTC tamper, RTC timestamp, RCC LSECSS(2)",Configurable,CPU1 or CPU2,Yes
19,RTC wakeup timer,Configurable,Any,Yes
20,COMP1,Configurable,Any,Yes
21,COMP2,Configurable,Any,Yes
22,I2C1 wakeup,Direct,CPU1 or CPU2,Yes
23,I2C2 wakeup,Direct,CPU1 or CPU2,Yes
24,I2C3 wakeup,Direct,CPU1 or CPU2,Yes
25,I2C4 wakeup,Direct,Any,Yes
26,USART1 wakeup,Direct,CPU1 or CPU2,Yes
27,USART2 wakeup,Direct,CPU1 or CPU2,Yes
28,USART3 wakeup,Direct,CPU1 or CPU2,Yes
29,USART6 wakeup,Direct,CPU1 or CPU2,Yes
30,UART4 wakeup,Direct,CPU1 or CPU2,Yes
31,UART5 wakeup,Direct,CPU1 or CPU2,Yes
32,UART7 wakeup,Direct,CPU1 or CPU2,Yes
33,UART8 wakeup,Direct,CPU1 or CPU2,Yes
34,LPUART1 RX wakeup,Direct,Any,Yes
35,LPUART1 TX wakeup,Direct,Any,Yes
36,SPI1 wakeup,Direct,CPU1 or CPU2,Yes
37,SPI2 wakeup,Direct,CPU1 or CPU2,Yes
38,SPI3 wakeup,Direct,CPU1 or CPU2,Yes
39,SPI4 wakeup,Direct,CPU1 or CPU2,Yes
40,SPI5 wakeup,Direct,CPU1 or CPU2,Yes
41,SPI6 wakeup,Direct,Any,Yes
42,MDIO wakeup,Direct,CPU1 or CPU2,Yes
43,USB1 wakeup,Direct,CPU1 or CPU2,Yes
44,USB2 wakeup,Direct,CPU1 or CPU2,Yes
45,Reserved,-,-,-
46,DSI wakeup,Direct,CPU1 or CPU2,Yes
47,LPTIM1 wakeup,Direct,CPU1 or CPU2,Yes
48,LPTIM2 wakeup,Direct,Any,Yes
49,LPTIM2 output,Configurable,Any,No(3)
50,LPTIM3 wakeup,Direct,Any,Yes
51,LPTIM3 output,Configurable,Any,No(3)
52,LPTIM4 wakeup,Direct,Any,Yes
53,LPTIM5 wakeup,Direct,Any,Yes
54,SWPMI wakeup,Direct,CPU1 or CPU2,Yes
55,WKUP1,Direct,CPU1 or CPU2,Yes
56,WKUP2,Direct,CPU1 or CPU2,Yes
57,WKUP3,Direct,CPU1 or CPU2,Yes
58,WKUP4,Direct,CPU1 or CPU2,Yes
59,WKUP5,Direct,CPU1 or CPU2,Yes
60,WKUP6,Direct,CPU1 or CPU2,Yes
61,RCC interrupt,Direct,CPU1 or CPU2,No(5)
62,I2C4 Event interrupt,Direct,CPU1 or CPU2,No(5)
63,I2C4 Error interrupt,Direct,CPU1 or CPU2,No(5)
64,LPUART1 global Interrupt,Direct,CPU1 or CPU2,No(5)
65,SPI6 interrupt,Direct,CPU1 or CPU2,No(5)
66,BDMA CH0 interrupt,Direct,CPU1 or CPU2,No(5)
67,BDMA CH1 interrupt,Direct,CPU1 or CPU2,No(5)
68,BDMA CH2 interrupt,Direct,CPU1 or CPU2,No(5)
69,BDMA CH3 interrupt,Direct,CPU1 or CPU2,No(5)
70,BDMA CH4 interrupt,Direct,CPU1 or CPU2,No(5)
71,BDMA CH5 interrupt,Direct,CPU1 or CPU2,No(5)
72,BDMA CH6 interrupt,Direct,CPU1 or CPU2,No(5)
73,BDMA CH7 interrupt,Direct,CPU1 or CPU2,No(5)
74,DMAMUX2 interrupt,Direct,CPU1 or CPU2,No(5)
75,ADC3 interrupt,Direct,CPU1 or CPU2,No(5)
76,SAI4 interrupt,Direct,CPU1 or CPU2,No(5)
77,HSEM0 interrupt,Direct,CPU1 only,No(5)
78,HSEM1 interrupt,Direct,CPU2 only,No(5)
79,CortexM4 SEV interrupt,Direct,CPU1 only,No(3)
80,CortexM7 SEV interrupt(6),Direct,CPU2 only,No(3)
81,Reserved,-,-,-
82,WWDG1 reset,Configurable,CPU2 only,Yes
83,Reserved,-,-,-
84,WWDG2 reset,Configurable,CPU1 only,Yes
85,HDMI-CEC wakeup,Configurable,CPU1 or CPU2,Yes
86,ETHERNET wakeup,Configurable,CPU1 or CPU2,Yes
87,HSECSS interrupt,Direct,CPU1 or CPU2,No(5)
88,Reserved,-,-,-
