Pin name;LQFP144;UFBGA176+25;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PE2;1;C3;1;1;C3;I/O;FT_h;TRACECLK;;SAI1_CK1;;;SPI4_SCK;SAI1_MCLK_A;;SAI4_MCLK_A;QUADSPI_BK1_IO2;SAI4_CK1;ETH_MII_TXD3;FMC_A23;;;EVENTOUT;TRACECLK, SAI1_CK1, SPI4_SCK, SAI1_MCLK_A, SAI4_MCLK_A, QUADSPI_BK1_IO2, SAI4_CK1, ETH_MII_TXD3, FMC_A23, EVENTOUT;;;
PE3;2;B2;2;2;D3;I/O;FT_h;TRACED0;;;;TIM15_BKIN;;SAI1_SD_B;;SAI4_SD_B;;;;FMC_A19;;;EVENTOUT;TRACED0, TIM15_BKIN, SAI1_SD_B, SAI4_SD_B, FMC_A19, EVENTOUT;;;
PE4;3;B1;3;3;D2;I/O;FT_h;TRACED1;;SAI1_D2;DFSDM1_DATIN3;TIM15_CH1N;SPI4_NSS;SAI1_FS_A;;SAI4_FS_A;;SAI4_D2;;FMC_A20;DCMI_D4;LCD_B0;EVENTOUT;TRACED1, SAI1_D2, DFSDM1_DATIN3, TIM15_CH1N, SPI4_NSS, SAI1_FS_A, SAI4_FS_A, SAI4_D2, FMC_A20, DCMI_D4, LCD_B0, EVENTOUT;;;
PE5;4;D3;4;4;D1;I/O;FT_h;TRACED2;;SAI1_CK2;DFSDM1_CKIN3;TIM15_CH1;SPI4_MISO;SAI1_SCK_A;;SAI4_SCK_A;;SAI4_CK2;;FMC_A21;DCMI_D6;LCD_G0;EVENTOUT;TRACED2, SAI1_CK2, DFSDM1_CKIN3, TIM15_CH1, SPI4_MISO, SAI1_SCK_A, SAI4_SCK_A, SAI4_CK2, FMC_A21, DCMI_D6, LCD_G0, EVENTOUT;;;
PE6;5;E3;5;5;E5;I/O;FT_h;TRACED3;TIM1_BKIN2;SAI1_D1;;TIM15_CH2;SPI4_MOSI;SAI1_SD_A;;SAI4_SD_A;SAI4_D1;SAI2_MCLK_B;TIM1_BKIN2_COMP12;FMC_A22;DCMI_D7;LCD_G1;EVENTOUT;TRACED3, TIM1_BKIN2, SAI1_D1, TIM15_CH2, SPI4_MOSI, SAI1_SD_A, SAI4_SD_A, SAI4_D1, SAI2_MCLK_B, TIM1_BKIN2_COMP12, FMC_A22, DCMI_D7, LCD_G1, EVENTOUT;;;
VSS;6;A1;6;6;A1;S;;;;;;;;;;;;;;;;;;;;;
VDD;7;D5;7;7;;S;;;;;;;;;;;;;;;;;;;;;
VBAT;8;E2;8;8;B1;S;;;;;;;;;;;;;;;;;;;;;
VSS;;A15;;;B2;S;;;;;;;;;;;;;;;;;;;;;
PI8;;;;9;E4;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;RTC_TAMP2/WKUP3;;
PC13;9;C1;9;10;E3;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;RTC_TAMP1/RTC_TS/WKUP4;;
VSS;;C2;;;;S;;;;;;;;;;;;;;;;;;;;;
PC14-OSC32_IN(OSC32_IN);10;D2;10;11;C2;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;OSC32_IN;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
